,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
720,27.11.2002,2002/519,Rolf Kuhn,SP,Anton Stäbler,,Sozialdepartement (SD)
721,14.3.2001,2001/155,Luzi Rüegg,SVP,Markus Schwyn,PFZ,Hochbaudepartement (HBD)
722,21.3.2001,2001/169,Markus Schwyn,PFZ,Bruno Sidler,SVP,Finanzdepartement (FD)
723,9.3.2005,2005/88,Susi Gut,PFZ,Mauro Tuena,SVP,Departement der Industriellen Betriebe (DIB)
724,26.06.2013,2013/252,Simon Kälin-Werth,Grüne,Andreas Edelmann,SP,
725,25.10.2006,2006/459,Richard Rabelbauer,EVP,Daniel Meier,CVP,Finanzdepartement (FD)
726,21.11.2018,2015/405,Roger Tognella,FDP,Marco Denoth,SP,
727,31.3.2004,2004/164,Gerold Lauber,CVP,Albert Leiser,FDP,Sozialdepartement (SD)
728,21.9.2005,2005/377,Susi Gut,PFZ,Mauro Tuena,SVP,Präsidialdepartement (PRD)
729,5.10.2005,2005/411,Robert Schönbächler,CVP,Anton Stäbler,,Tiefbau- und Entsorgungsdepartement (TED)
730,25.11.2015,2015/377,Urs Fehr,SVP,Mario Mariani,CVP,
731,07.11.2018,2018/426,Corina Gredig,GLP,Jean-Daniel Strub,SP,Stadtrat
732,31.3.2004,2004/170,Susi Gut,PFZ,Mauro Tuena,SVP,Polizeidepartement (PD)
733,1.3.2000,2000/90,Markus Schwyn,PFZ,Marina Garzotto,SVP,Departement der Industriellen Betriebe (DIB)
